 Node Depth Head Moisture K C Flux Sink Kappa v/KsTop Temp Conc(1..NS) Sorb(1...NS)
 47 -920.0000 10.415 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3819E-11 0.0000E+00
 48 -940.0000 11.945 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3605E-12 0.0000E+00
 49 -960.0000 13.474 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3294E-13 0.0000E+00
 50 -980.0000 15.004 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2921E-14 0.0000E+00
 51 -1000.0000 16.533 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2518E-15 0.0000E+00
 52 -1020.0000 18.063 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2114E-16 0.0000E+00
 53 -1040.0000 19.592 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1733E-17 0.0000E+00
 54 -1060.0000 21.122 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1387E-18 0.0000E+00
 55 -1080.0000 22.651 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1087E-19 0.0000E+00
 56 -1100.0000 24.181 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.8344E-21 0.0000E+00
 57 -1120.0000 25.710 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.6281E-22 0.0000E+00
 58 -1140.0000 27.240 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.4642E-23 0.0000E+00
 59 -1160.0000 28.769 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3371E-24 0.0000E+00
 60 -1180.0000 30.299 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2408E-25 0.0000E+00
 61 -1200.0000 31.828 0.4100 0.1061E+03 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.1670E-26 0.0000E+00
 62 -1220.0000 33.066 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.5953E-27 0.0000E+00
 63 -1240.0000 33.066 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.2277E-27 0.0000E+00
 64 -1260.0000 33.066 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.8609E-28 0.0000E+00
 65 -1280.0000 33.066 0.4300 0.2496E+02 0.0000E+00 -0.2496E+01 0.0000E+00 -1 -0.100E+00 20.00 0.3199E-28 0.0000E+00
